date,number_of_commits
3/30/2010,1
3/31/2010,0
4/1/2010,0
4/2/2010,0
4/3/2010,0
4/4/2010,2
4/5/2010,1
4/6/2010,0
4/7/2010,0
4/8/2010,0
4/9/2010,0
4/10/2010,0
4/11/2010,0
4/12/2010,0
4/13/2010,0
4/14/2010,0
4/15/2010,1
4/16/2010,2
4/17/2010,0
4/18/2010,0
4/19/2010,1
4/20/2010,2
4/21/2010,2
4/22/2010,1
4/23/2010,0
4/24/2010,0
4/25/2010,0
4/26/2010,0
4/27/2010,0
4/28/2010,0
4/29/2010,0
4/30/2010,0
5/1/2010,1
5/2/2010,0
5/3/2010,0
5/4/2010,0
5/5/2010,1
5/6/2010,0
5/7/2010,0
5/8/2010,0
5/9/2010,0
5/10/2010,0
5/11/2010,0
5/12/2010,0
5/13/2010,0
5/14/2010,0
5/15/2010,0
5/16/2010,0
5/17/2010,4
5/18/2010,0
5/19/2010,1
5/20/2010,0
5/21/2010,0
5/22/2010,0
5/23/2010,0
5/24/2010,0
5/25/2010,0
5/26/2010,0
5/27/2010,0
5/28/2010,0
5/29/2010,0
5/30/2010,0
5/31/2010,0
6/1/2010,0
6/2/2010,0
6/3/2010,0
6/4/2010,0
6/5/2010,0
6/6/2010,0
6/7/2010,0
6/8/2010,0
6/9/2010,0
6/10/2010,0
6/11/2010,7
6/12/2010,2
6/13/2010,0
6/14/2010,0
6/15/2010,0
6/16/2010,0
6/17/2010,0
6/18/2010,2
6/19/2010,2
6/20/2010,0
6/21/2010,0
6/22/2010,0
6/23/2010,0
6/24/2010,0
6/25/2010,0
6/26/2010,0
6/27/2010,0
6/28/2010,2
6/29/2010,0
6/30/2010,0
7/1/2010,0
7/2/2010,0
7/3/2010,0
7/4/2010,0
7/5/2010,0
7/6/2010,0
7/7/2010,0
7/8/2010,0
7/9/2010,0
7/10/2010,0
7/11/2010,0
7/12/2010,0
7/13/2010,0
7/14/2010,0
7/15/2010,0
7/16/2010,0
7/17/2010,0
7/18/2010,0
7/19/2010,0
7/20/2010,2
7/21/2010,0
7/22/2010,0
7/23/2010,0
7/24/2010,0
7/25/2010,0
7/26/2010,4
7/27/2010,0
7/28/2010,0
7/29/2010,0
7/30/2010,0
7/31/2010,0
8/1/2010,0
8/2/2010,0
8/3/2010,0
8/4/2010,0
8/5/2010,0
8/6/2010,0
8/7/2010,1
8/8/2010,0
8/9/2010,0
8/10/2010,1
8/11/2010,0
8/12/2010,0
8/13/2010,1
8/14/2010,3
8/15/2010,0
8/16/2010,1
8/17/2010,1
8/18/2010,0
8/19/2010,2
8/20/2010,0
8/21/2010,0
8/22/2010,0
8/23/2010,0
8/24/2010,0
8/25/2010,0
8/26/2010,0
8/27/2010,0
8/28/2010,0
8/29/2010,0
8/30/2010,0
8/31/2010,0
9/1/2010,1
9/2/2010,1
9/3/2010,0
9/4/2010,0
9/5/2010,0
9/6/2010,0
9/7/2010,0
9/8/2010,1
9/9/2010,0
9/10/2010,0
9/11/2010,0
9/12/2010,0
9/13/2010,1
9/14/2010,1
9/15/2010,0
9/16/2010,0
9/17/2010,0
9/18/2010,0
9/19/2010,0
9/20/2010,0
9/21/2010,0
9/22/2010,0
9/23/2010,0
9/24/2010,0
9/25/2010,0
9/26/2010,1
9/27/2010,0
9/28/2010,0
9/29/2010,13
9/30/2010,2
10/1/2010,0
10/2/2010,0
10/3/2010,1
10/4/2010,3
10/5/2010,1
10/6/2010,1
10/7/2010,0
10/8/2010,7
10/9/2010,0
10/10/2010,0
10/11/2010,0
10/12/2010,0
10/13/2010,4
10/14/2010,3
10/15/2010,1
10/16/2010,7
10/17/2010,15
10/18/2010,0
10/19/2010,5
10/20/2010,8
10/21/2010,3
10/22/2010,4
10/23/2010,2
10/24/2010,2
10/25/2010,2
10/26/2010,4
10/27/2010,7
10/28/2010,4
10/29/2010,3
10/30/2010,0
10/31/2010,0
11/1/2010,0
11/2/2010,1
11/3/2010,2
11/4/2010,5
11/5/2010,4
11/6/2010,0
11/7/2010,5
11/8/2010,2
11/9/2010,2
11/10/2010,5
11/11/2010,3
11/12/2010,2
11/13/2010,4
11/14/2010,8
11/15/2010,0
11/16/2010,0
11/17/2010,0
11/18/2010,0
11/19/2010,4
11/20/2010,0
11/21/2010,0
11/22/2010,0
11/23/2010,0
11/24/2010,0
11/25/2010,0
11/26/2010,1
11/27/2010,6
11/28/2010,1
11/29/2010,0
11/30/2010,10
12/1/2010,4
12/2/2010,2
12/3/2010,1
12/4/2010,4
12/5/2010,5
12/6/2010,1
12/7/2010,0
12/8/2010,4
12/9/2010,0
12/10/2010,0
12/11/2010,0
12/12/2010,1
12/13/2010,0
12/14/2010,1
12/15/2010,0
12/16/2010,8
12/17/2010,5
12/18/2010,1
12/19/2010,2
12/20/2010,7
12/21/2010,0
12/22/2010,7
12/23/2010,8
12/24/2010,0
12/25/2010,1
12/26/2010,5
12/27/2010,3
12/28/2010,1
12/29/2010,5
12/30/2010,1
12/31/2010,5
1/1/2011,0
1/2/2011,0
1/3/2011,1
1/4/2011,2
1/5/2011,2
1/6/2011,3
1/7/2011,4
1/8/2011,0
1/9/2011,0
1/10/2011,1
1/11/2011,2
1/12/2011,0
1/13/2011,0
1/14/2011,5
1/15/2011,0
1/16/2011,0
1/17/2011,0
1/18/2011,0
1/19/2011,0
1/20/2011,0
1/21/2011,1
1/22/2011,0
1/23/2011,1
1/24/2011,0
1/25/2011,0
1/26/2011,1
1/27/2011,0
1/28/2011,0
1/29/2011,0
1/30/2011,0
1/31/2011,0
2/1/2011,0
2/2/2011,4
2/3/2011,3
2/4/2011,0
2/5/2011,0
2/6/2011,2
2/7/2011,0
2/8/2011,0
2/9/2011,7
2/10/2011,5
2/11/2011,6
2/12/2011,0
2/13/2011,0
2/14/2011,1
2/15/2011,1
2/16/2011,1
2/17/2011,0
2/18/2011,0
2/19/2011,0
2/20/2011,0
2/21/2011,0
2/22/2011,0
2/23/2011,0
2/24/2011,0
2/25/2011,0
2/26/2011,0
2/27/2011,2
2/28/2011,2
3/1/2011,0
3/2/2011,1
3/3/2011,0
3/4/2011,0
3/5/2011,0
3/6/2011,0
3/7/2011,7
3/8/2011,4
3/9/2011,8
3/10/2011,0
3/11/2011,0
3/12/2011,0
3/13/2011,0
3/14/2011,0
3/15/2011,0
3/16/2011,0
3/17/2011,0
3/18/2011,0
3/19/2011,0
3/20/2011,0
3/21/2011,0
3/22/2011,0
3/23/2011,0
3/24/2011,0
3/25/2011,0
3/26/2011,0
3/27/2011,0
3/28/2011,0
3/29/2011,0
3/30/2011,1
3/31/2011,3
4/1/2011,1
4/2/2011,3
4/3/2011,1
4/4/2011,0
