date,number_of_commits
2/16/2009,2
2/17/2009,0
2/18/2009,0
2/19/2009,0
2/20/2009,2
2/21/2009,2
2/22/2009,1
2/23/2009,4
2/24/2009,3
2/25/2009,1
2/26/2009,0
2/27/2009,0
2/28/2009,0
3/1/2009,1
3/2/2009,1
3/3/2009,3
3/4/2009,7
3/5/2009,7
3/6/2009,1
3/7/2009,1
3/8/2009,1
3/9/2009,3
3/10/2009,2
3/11/2009,0
3/12/2009,0
3/13/2009,1
3/14/2009,0
3/15/2009,6
3/16/2009,0
3/17/2009,0
3/18/2009,0
3/19/2009,0
3/20/2009,0
3/21/2009,0
3/22/2009,0
3/23/2009,0
3/24/2009,0
3/25/2009,0
3/26/2009,0
3/27/2009,0
3/28/2009,0
3/29/2009,0
3/30/2009,0
3/31/2009,0
4/1/2009,0
4/2/2009,0
4/3/2009,1
4/4/2009,2
4/5/2009,0
4/6/2009,0
4/7/2009,0
4/8/2009,0
4/9/2009,0
4/10/2009,0
4/11/2009,0
4/12/2009,0
4/13/2009,0
4/14/2009,0
4/15/2009,1
4/16/2009,8
4/17/2009,3
4/18/2009,6
4/19/2009,0
4/20/2009,2
4/21/2009,9
4/22/2009,13
4/23/2009,9
4/24/2009,2
4/25/2009,0
4/26/2009,0
4/27/2009,0
4/28/2009,0
4/29/2009,8
4/30/2009,0
5/1/2009,0
5/2/2009,1
5/3/2009,4
5/4/2009,8
5/5/2009,1
5/6/2009,5
5/7/2009,4
5/8/2009,0
5/9/2009,0
5/10/2009,0
5/11/2009,1
5/12/2009,7
5/13/2009,1
5/14/2009,10
5/15/2009,7
5/16/2009,6
5/17/2009,1
5/18/2009,4
5/19/2009,8
5/20/2009,13
5/21/2009,2
5/22/2009,0
5/23/2009,0
5/24/2009,0
5/25/2009,2
5/26/2009,7
5/27/2009,10
5/28/2009,5
5/29/2009,2
5/30/2009,1
5/31/2009,4
6/1/2009,1
6/2/2009,1
6/3/2009,1
6/4/2009,4
6/5/2009,7
6/6/2009,1
6/7/2009,1
6/8/2009,2
6/9/2009,10
6/10/2009,2
6/11/2009,9
6/12/2009,5
6/13/2009,3
6/14/2009,0
6/15/2009,3
6/16/2009,5
6/17/2009,8
6/18/2009,7
6/19/2009,2
6/20/2009,3
6/21/2009,14
6/22/2009,6
6/23/2009,5
6/24/2009,3
6/25/2009,0
6/26/2009,3
6/27/2009,7
