date,number_of_commits
11/7/2015,3
11/8/2015,3
11/9/2015,11
11/10/2015,2
11/11/2015,3
11/12/2015,6
11/13/2015,7
11/14/2015,1
11/15/2015,0
11/16/2015,0
11/17/2015,4
11/18/2015,2
11/19/2015,8
11/20/2015,11
11/21/2015,5
11/22/2015,1
11/23/2015,3
11/24/2015,1
11/25/2015,15
11/26/2015,8
11/27/2015,0
11/28/2015,3
11/29/2015,0
11/30/2015,3
12/1/2015,2
12/2/2015,2
12/3/2015,3
12/4/2015,11
12/5/2015,24
12/6/2015,8
12/7/2015,14
12/8/2015,19
12/9/2015,12
12/10/2015,8
12/11/2015,13
12/12/2015,19
12/13/2015,1
12/14/2015,27
12/15/2015,20
12/16/2015,22
12/17/2015,17
12/18/2015,38
12/19/2015,20
12/20/2015,2
12/21/2015,15
12/22/2015,16
12/23/2015,33
12/24/2015,11
12/25/2015,7
12/26/2015,3
12/27/2015,19
12/28/2015,15
12/29/2015,4
12/30/2015,10
12/31/2015,8
1/1/2016,7
1/2/2016,6
1/3/2016,23
1/4/2016,15
1/5/2016,14
1/6/2016,12
1/7/2016,64
1/8/2016,37
1/9/2016,17
1/10/2016,4
1/11/2016,3
1/12/2016,26
1/13/2016,34
1/14/2016,34
1/15/2016,37
1/16/2016,44
1/17/2016,11
1/18/2016,10
1/19/2016,17
1/20/2016,19
1/21/2016,51
1/22/2016,25
1/23/2016,21
1/24/2016,17
1/25/2016,18
1/26/2016,28
1/27/2016,51
1/28/2016,35
1/29/2016,10
1/30/2016,18
1/31/2016,8
2/1/2016,5
2/2/2016,32
2/3/2016,24
2/4/2016,34
2/5/2016,38
2/6/2016,27
2/7/2016,19
2/8/2016,20
2/9/2016,52
2/10/2016,32
2/11/2016,46
2/12/2016,28
2/13/2016,33
2/14/2016,25
2/15/2016,21
2/16/2016,31
2/17/2016,47
2/18/2016,50
2/19/2016,49
2/20/2016,38
2/21/2016,12
2/22/2016,9
2/23/2016,37
2/24/2016,32
2/25/2016,29
2/26/2016,60
2/27/2016,30
2/28/2016,4
2/29/2016,11
3/1/2016,26
3/2/2016,37
3/3/2016,26
3/4/2016,44
3/5/2016,23
3/6/2016,17
3/7/2016,8
3/8/2016,42
3/9/2016,23
3/10/2016,34
3/11/2016,32
3/12/2016,30
3/13/2016,4
3/14/2016,18
3/15/2016,47
3/16/2016,40
3/17/2016,23
3/18/2016,49
3/19/2016,32
3/20/2016,10
3/21/2016,13
3/22/2016,37
3/23/2016,55
3/24/2016,62
3/25/2016,47
3/26/2016,39
3/27/2016,7
3/28/2016,3
3/29/2016,60
3/30/2016,29
3/31/2016,45
4/1/2016,24
4/2/2016,23
4/3/2016,6
4/4/2016,9
4/5/2016,25
4/6/2016,24
4/7/2016,22
4/8/2016,30
4/9/2016,29
4/10/2016,2
4/11/2016,7
4/12/2016,35
4/13/2016,47
4/14/2016,30
4/15/2016,43
4/16/2016,36
4/17/2016,8
4/18/2016,3
4/19/2016,28
4/20/2016,31
4/21/2016,34
4/22/2016,27
4/23/2016,17
4/24/2016,1
4/25/2016,5
4/26/2016,32
4/27/2016,24
4/28/2016,23
