date,number_of_issues
5/2/2011,0
5/3/2011,1
5/4/2011,3
5/5/2011,1
5/6/2011,0
5/7/2011,0
5/8/2011,0
5/9/2011,4
5/10/2011,1
5/11/2011,0
5/12/2011,3
5/13/2011,1
5/14/2011,0
5/15/2011,0
5/16/2011,0
5/17/2011,0
5/18/2011,0
5/19/2011,0
5/20/2011,0
5/21/2011,0
5/22/2011,1
5/23/2011,0
5/24/2011,0
5/25/2011,0
5/26/2011,0
5/27/2011,0
5/28/2011,0
5/29/2011,1
5/30/2011,2
5/31/2011,0
6/1/2011,2
6/2/2011,0
6/3/2011,3
6/4/2011,2
6/5/2011,1
6/6/2011,1
6/7/2011,0
6/8/2011,1
6/9/2011,0
6/10/2011,2
6/11/2011,2
6/12/2011,1
6/13/2011,2
6/14/2011,2
6/15/2011,3
6/16/2011,4
6/17/2011,2
6/18/2011,4
6/19/2011,5
6/20/2011,2
6/21/2011,3
6/22/2011,11
6/23/2011,2
6/24/2011,1
6/25/2011,5
6/26/2011,0
6/27/2011,1
6/28/2011,1
6/29/2011,2
6/30/2011,2
7/1/2011,0
7/2/2011,0
7/3/2011,0
7/4/2011,1
7/5/2011,0
7/6/2011,0
7/7/2011,1
7/8/2011,7
7/9/2011,1
7/10/2011,2
7/11/2011,2
7/12/2011,2
7/13/2011,0
7/14/2011,1
7/15/2011,1
7/16/2011,13
7/17/2011,5
7/18/2011,2
7/19/2011,6
7/20/2011,2
7/21/2011,1
7/22/2011,6
7/23/2011,2
7/24/2011,1
7/25/2011,6
7/26/2011,3
7/27/2011,0
7/28/2011,0
7/29/2011,1
7/30/2011,0
7/31/2011,3
8/1/2011,3
8/2/2011,0
8/3/2011,0
8/4/2011,2
8/5/2011,1
8/6/2011,0
8/7/2011,0
8/8/2011,0
8/9/2011,0
8/10/2011,0
8/11/2011,0
8/12/2011,2
8/13/2011,2
8/14/2011,1
8/15/2011,1
8/16/2011,1
8/17/2011,4
8/18/2011,2
8/19/2011,0
8/20/2011,1
8/21/2011,1
8/22/2011,3
8/23/2011,0
8/24/2011,0
8/25/2011,1
8/26/2011,0
8/27/2011,0
8/28/2011,0
