date,number_of_issues
11/24/2014,0
11/25/2014,0
11/26/2014,0
11/27/2014,1
11/28/2014,6
11/29/2014,8
11/30/2014,4
12/1/2014,0
12/2/2014,5
12/3/2014,17
12/4/2014,28
12/5/2014,16
12/6/2014,11
12/7/2014,8
12/8/2014,8
12/9/2014,11
12/10/2014,12
12/11/2014,12
12/12/2014,5
12/13/2014,3
12/14/2014,5
12/15/2014,1
12/16/2014,11
12/17/2014,3
12/18/2014,4
12/19/2014,2
12/20/2014,3
12/21/2014,6
12/22/2014,5
12/23/2014,4
12/24/2014,6
12/25/2014,0
12/26/2014,4
12/27/2014,1
12/28/2014,1
12/29/2014,0
12/30/2014,5
12/31/2014,4
1/1/2015,4
1/2/2015,5
1/3/2015,2
1/4/2015,1
1/5/2015,0
1/6/2015,4
1/7/2015,3
1/8/2015,22
1/9/2015,8
1/10/2015,7
1/11/2015,12
1/12/2015,16
1/13/2015,28
1/14/2015,68
1/15/2015,41
1/16/2015,24
1/17/2015,20
1/18/2015,6
1/19/2015,17
1/20/2015,14
1/21/2015,14
1/22/2015,18
1/23/2015,16
1/24/2015,17
1/25/2015,12
1/26/2015,5
1/27/2015,15
1/28/2015,14
1/29/2015,19
1/30/2015,13
1/31/2015,14
2/1/2015,4
2/2/2015,4
2/3/2015,16
2/4/2015,10
2/5/2015,9
2/6/2015,17
2/7/2015,11
2/8/2015,4
2/9/2015,14
2/10/2015,12
2/11/2015,20
2/12/2015,17
2/13/2015,12
2/14/2015,12
2/15/2015,6
2/16/2015,5
2/17/2015,8
2/18/2015,14
2/19/2015,13
2/20/2015,11
2/21/2015,11
2/22/2015,4
2/23/2015,7
2/24/2015,10
2/25/2015,20
2/26/2015,13
2/27/2015,22
2/28/2015,11
3/1/2015,13
3/2/2015,10
3/3/2015,17
3/4/2015,15
3/5/2015,16
3/6/2015,10
3/7/2015,7
3/8/2015,9
3/9/2015,10
3/10/2015,11
3/11/2015,7
3/12/2015,3
3/13/2015,14
3/14/2015,13
3/15/2015,2
3/16/2015,4
3/17/2015,10
3/18/2015,16
3/19/2015,18
3/20/2015,14
3/21/2015,10
3/22/2015,6
3/23/2015,6
3/24/2015,5
3/25/2015,14
3/26/2015,11
3/27/2015,13
3/28/2015,5
3/29/2015,3
3/30/2015,1
3/31/2015,7
4/1/2015,12
4/2/2015,11
4/3/2015,15
4/4/2015,2
4/5/2015,7
4/6/2015,8
4/7/2015,7
4/8/2015,14
4/9/2015,7
4/10/2015,7
4/11/2015,6
4/12/2015,6
4/13/2015,8
4/14/2015,11
4/15/2015,9
