date,number_of_issues,number_of_commits,IS_commit
11/9/2015,4,11,TRUE
11/10/2015,91,2,TRUE
11/11/2015,46,3,TRUE
11/12/2015,35,6,TRUE
11/13/2015,22,7,TRUE
11/14/2015,22,1,TRUE
11/15/2015,12,0,FALSE
11/16/2015,12,0,FALSE
11/17/2015,15,4,TRUE
11/18/2015,13,2,TRUE
11/19/2015,18,8,TRUE
11/20/2015,14,11,TRUE
11/21/2015,6,5,TRUE
11/22/2015,8,1,TRUE
11/23/2015,12,3,TRUE
11/24/2015,7,1,TRUE
11/25/2015,8,15,TRUE
11/26/2015,12,8,TRUE
11/27/2015,4,0,FALSE
11/28/2015,5,3,TRUE
11/29/2015,5,0,FALSE
11/30/2015,1,3,TRUE
12/1/2015,10,2,TRUE
12/2/2015,7,2,TRUE
12/3/2015,8,3,TRUE
12/4/2015,7,11,TRUE
12/5/2015,8,24,TRUE
12/6/2015,7,8,TRUE
12/7/2015,6,14,TRUE
12/8/2015,15,19,TRUE
12/9/2015,7,12,TRUE
12/10/2015,14,8,TRUE
12/11/2015,15,13,TRUE
12/12/2015,10,19,TRUE
12/13/2015,7,1,TRUE
12/14/2015,9,27,TRUE
12/15/2015,11,20,TRUE
12/16/2015,5,22,TRUE
12/17/2015,10,17,TRUE
12/18/2015,16,38,TRUE
12/19/2015,9,20,TRUE
12/20/2015,12,2,TRUE
12/21/2015,10,15,TRUE
12/22/2015,10,16,TRUE
12/23/2015,9,33,TRUE
12/24/2015,12,11,TRUE
12/25/2015,6,7,TRUE
12/26/2015,7,3,TRUE
12/27/2015,6,19,TRUE
12/28/2015,8,15,TRUE
12/29/2015,4,4,TRUE
12/30/2015,10,10,TRUE
12/31/2015,5,8,TRUE
1/1/2016,8,7,TRUE
1/2/2016,1,6,TRUE
1/3/2016,5,23,TRUE
1/4/2016,5,15,TRUE
1/5/2016,17,14,TRUE
1/6/2016,12,12,TRUE
1/7/2016,14,64,TRUE
1/8/2016,6,37,TRUE
1/9/2016,8,17,TRUE
1/10/2016,2,4,TRUE
1/11/2016,8,3,TRUE
1/12/2016,8,26,TRUE
1/13/2016,11,34,TRUE
1/14/2016,10,34,TRUE
1/15/2016,11,37,TRUE
1/16/2016,6,44,TRUE
1/17/2016,6,11,TRUE
1/18/2016,6,10,TRUE
1/19/2016,8,17,TRUE
1/20/2016,8,19,TRUE
1/21/2016,9,51,TRUE
1/22/2016,11,25,TRUE
1/23/2016,14,21,TRUE
1/24/2016,10,17,TRUE
1/25/2016,17,18,TRUE
1/26/2016,10,28,TRUE
1/27/2016,18,51,TRUE
1/28/2016,9,35,TRUE
1/29/2016,17,10,TRUE
1/30/2016,7,18,TRUE
1/31/2016,6,8,TRUE
2/1/2016,2,5,TRUE
2/2/2016,14,32,TRUE
2/3/2016,14,24,TRUE
2/4/2016,12,34,TRUE
2/5/2016,12,38,TRUE
2/6/2016,5,27,TRUE
2/7/2016,6,19,TRUE
2/8/2016,7,20,TRUE
2/9/2016,12,52,TRUE
2/10/2016,9,32,TRUE
2/11/2016,17,46,TRUE
2/12/2016,16,28,TRUE
