date,number_of_issues
11/9/2015,4
11/10/2015,91
11/11/2015,46
11/12/2015,35
11/13/2015,22
11/14/2015,22
11/15/2015,12
11/16/2015,12
11/17/2015,15
11/18/2015,13
11/19/2015,18
11/20/2015,14
11/21/2015,6
11/22/2015,8
11/23/2015,12
11/24/2015,7
11/25/2015,8
11/26/2015,12
11/27/2015,4
11/28/2015,5
11/29/2015,5
11/30/2015,1
12/1/2015,10
12/2/2015,7
12/3/2015,8
12/4/2015,7
12/5/2015,8
12/6/2015,7
12/7/2015,6
12/8/2015,15
12/9/2015,7
12/10/2015,14
12/11/2015,15
12/12/2015,10
12/13/2015,7
12/14/2015,9
12/15/2015,11
12/16/2015,5
12/17/2015,10
12/18/2015,16
12/19/2015,9
12/20/2015,12
12/21/2015,10
12/22/2015,10
12/23/2015,9
12/24/2015,12
12/25/2015,6
12/26/2015,7
12/27/2015,6
12/28/2015,8
12/29/2015,4
12/30/2015,10
12/31/2015,5
1/1/2016,8
1/2/2016,1
1/3/2016,5
1/4/2016,5
1/5/2016,17
1/6/2016,12
1/7/2016,14
1/8/2016,6
1/9/2016,8
1/10/2016,2
1/11/2016,8
1/12/2016,8
1/13/2016,11
1/14/2016,10
1/15/2016,11
1/16/2016,6
1/17/2016,6
1/18/2016,6
1/19/2016,8
1/20/2016,8
1/21/2016,9
1/22/2016,11
1/23/2016,14
1/24/2016,10
1/25/2016,17
1/26/2016,10
1/27/2016,18
1/28/2016,9
1/29/2016,17
1/30/2016,7
1/31/2016,6
2/1/2016,2
2/2/2016,14
2/3/2016,14
2/4/2016,12
2/5/2016,12
2/6/2016,5
2/7/2016,6
2/8/2016,7
2/9/2016,12
2/10/2016,9
2/11/2016,17
2/12/2016,16
2/13/2016,10
2/14/2016,12
2/15/2016,10
2/16/2016,17
2/17/2016,22
2/18/2016,27
2/19/2016,27
2/20/2016,15
2/21/2016,9
2/22/2016,13
2/23/2016,17
2/24/2016,23
2/25/2016,7
2/26/2016,20
2/27/2016,14
2/28/2016,10
2/29/2016,5
3/1/2016,13
3/2/2016,15
3/3/2016,10
3/4/2016,18
3/5/2016,4
3/6/2016,11
3/7/2016,17
3/8/2016,14
3/9/2016,8
3/10/2016,13
3/11/2016,11
3/12/2016,9
3/13/2016,7
3/14/2016,15
3/15/2016,17
3/16/2016,14
3/17/2016,7
3/18/2016,11
3/19/2016,8
3/20/2016,8
3/21/2016,8
3/22/2016,10
3/23/2016,19
3/24/2016,28
3/25/2016,15
3/26/2016,16
3/27/2016,10
3/28/2016,9
3/29/2016,15
3/30/2016,19
3/31/2016,15
4/1/2016,16
4/2/2016,7
4/3/2016,5
4/4/2016,17
4/5/2016,9
4/6/2016,12
4/7/2016,19
4/8/2016,15
4/9/2016,5
4/10/2016,8
4/11/2016,10
4/12/2016,33
4/13/2016,38
4/14/2016,29
4/15/2016,19
4/16/2016,15
4/17/2016,19
4/18/2016,7
4/19/2016,12
4/20/2016,16
4/21/2016,14
4/22/2016,14
4/23/2016,10
4/24/2016,7
4/25/2016,16
4/26/2016,15
4/27/2016,19
4/28/2016,22
4/29/2016,16
4/30/2016,8
5/1/2016,8
5/2/2016,8
5/3/2016,10
5/4/2016,14
5/5/2016,21
5/6/2016,15
5/7/2016,10
5/8/2016,7
5/9/2016,22
5/10/2016,13
5/11/2016,20
5/12/2016,11
5/13/2016,12
5/14/2016,16
5/15/2016,6
5/16/2016,18
5/17/2016,17
5/18/2016,11
5/19/2016,13
5/20/2016,8
5/21/2016,13
5/22/2016,12
5/23/2016,13
5/24/2016,13
5/25/2016,13
5/26/2016,9
5/27/2016,25
5/28/2016,22
5/29/2016,10
5/30/2016,12
5/31/2016,12
6/1/2016,13
6/2/2016,17
6/3/2016,17
6/4/2016,14
6/5/2016,15
6/6/2016,19
6/7/2016,19
6/8/2016,25
6/9/2016,26
6/10/2016,27
6/11/2016,20
6/12/2016,10
6/13/2016,16
6/14/2016,20
6/15/2016,32
6/16/2016,20
6/17/2016,27
6/18/2016,15
6/19/2016,4
6/20/2016,6
6/21/2016,23
6/22/2016,16
6/23/2016,15
6/24/2016,18
6/25/2016,16
6/26/2016,8
6/27/2016,8
6/28/2016,18
6/29/2016,27
6/30/2016,18
7/1/2016,27
7/2/2016,9
7/3/2016,13
7/4/2016,13
7/5/2016,8
7/6/2016,13
7/7/2016,15
7/8/2016,15
7/9/2016,9
7/10/2016,13
7/11/2016,11
7/12/2016,14
7/13/2016,11
7/14/2016,20
7/15/2016,15
7/16/2016,14
7/17/2016,6
7/18/2016,16
7/19/2016,26
7/20/2016,26
7/21/2016,27
7/22/2016,17
7/23/2016,15
7/24/2016,3
7/25/2016,12
7/26/2016,15
7/27/2016,21
7/28/2016,20
7/29/2016,21
7/30/2016,17
7/31/2016,5
8/1/2016,7
8/2/2016,12
8/3/2016,14
8/4/2016,21
8/5/2016,22
8/6/2016,9
8/7/2016,10
8/8/2016,9
8/9/2016,16
8/10/2016,19
8/11/2016,20
8/12/2016,20
8/13/2016,24
8/14/2016,10
8/15/2016,12
8/16/2016,33
8/17/2016,25
8/18/2016,29
8/19/2016,23
8/20/2016,15
8/21/2016,6
8/22/2016,5
8/23/2016,34
8/24/2016,31
8/25/2016,22
8/26/2016,22
8/27/2016,14
8/28/2016,5
8/29/2016,12
8/30/2016,8
8/31/2016,27
9/1/2016,23
9/2/2016,21
9/3/2016,14
9/4/2016,5
9/5/2016,18
9/6/2016,18
9/7/2016,23
9/8/2016,25
9/9/2016,23
9/10/2016,18
9/11/2016,6
9/12/2016,12
9/13/2016,17
9/14/2016,31
9/15/2016,12
9/16/2016,16
9/17/2016,12
9/18/2016,14
9/19/2016,27
9/20/2016,25
9/21/2016,23
9/22/2016,21
9/23/2016,20
9/24/2016,12
9/25/2016,6
9/26/2016,13
9/27/2016,14
9/28/2016,31
9/29/2016,27
9/30/2016,30
10/1/2016,21
10/2/2016,13
10/3/2016,9
10/4/2016,28
10/5/2016,24
10/6/2016,19
10/7/2016,24
10/8/2016,20
10/9/2016,12
10/10/2016,19
10/11/2016,19
10/12/2016,19
10/13/2016,29
10/14/2016,27
10/15/2016,17
10/16/2016,4
10/17/2016,19
10/18/2016,33
10/19/2016,26
10/20/2016,25
10/21/2016,23
10/22/2016,20
10/23/2016,12
