date, number_of_issues, number_of_pull_requests, number_of_commits
2010-03-29, 0, 0, 1
2010-04-04, 0, 0, 3
2010-04-15, 0, 0, 1
2010-04-16, 0, 0, 2
2010-04-19, 0, 0, 1
2010-04-20, 0, 0, 2
2010-04-21, 0, 0, 2
2010-04-22, 0, 0, 1
2010-04-30, 0, 0, 1
2010-05-04, 0, 0, 1
2010-05-16, 0, 0, 3
2010-05-17, 0, 0, 1
2010-05-19, 0, 0, 1
2010-06-11, 0, 0, 9
2010-06-17, 0, 0, 2
2010-06-18, 0, 0, 2
2010-06-27, 0, 0, 1
2010-06-28, 0, 0, 1
2010-07-19, 0, 0, 1
2010-07-20, 0, 0, 1
2010-07-26, 0, 0, 4
2010-08-06, 0, 0, 1
2010-08-09, 0, 0, 1
2010-08-13, 0, 0, 2
2010-08-14, 0, 0, 2
2010-08-16, 0, 0, 1
2010-08-17, 0, 0, 1
2010-08-18, 0, 0, 2
2010-08-31, 0, 0, 1
2010-09-01, 0, 0, 1
2010-09-07, 0, 0, 1
2010-09-12, 0, 0, 1
2010-09-13, 0, 0, 1
2010-09-25, 0, 0, 1
2010-09-29, 0, 0, 15
2010-10-03, 0, 0, 3
2010-10-04, 0, 0, 2
2010-10-05, 0, 0, 1
2010-10-07, 0, 0, 4
2010-10-08, 0, 0, 3
2010-10-12, 0, 0, 4
2010-10-13, 0, 0, 2
2010-10-14, 0, 0, 2
2010-10-15, 0, 0, 5
2010-10-16, 0, 0, 11
2010-10-17, 0, 0, 6
2010-10-18, 0, 0, 5
2010-10-19, 0, 0, 5
2010-10-20, 0, 0, 5
2010-10-21, 0, 0, 2
2010-10-22, 0, 0, 4
2010-10-23, 0, 0, 2
2010-10-24, 0, 0, 1
2010-10-25, 0, 0, 4
2010-10-26, 0, 0, 6
2010-10-27, 0, 0, 6
2010-10-28, 0, 0, 4
2010-11-01, 0, 0, 1
2010-11-02, 0, 0, 2
2010-11-04, 0, 0, 8
2010-11-05, 0, 0, 1
2010-11-06, 0, 0, 3
2010-11-07, 0, 0, 2
2010-11-08, 0, 0, 3
2010-11-09, 0, 0, 2
2010-11-10, 0, 0, 5
2010-11-11, 0, 0, 4
2010-11-12, 0, 0, 2
2010-11-13, 0, 0, 2
2010-11-14, 0, 0, 8
2010-11-18, 0, 0, 4
2010-11-26, 0, 0, 1
2010-11-27, 0, 0, 6
2010-11-28, 0, 0, 1
2010-11-29, 0, 0, 6
2010-11-30, 0, 0, 4
2010-12-01, 0, 0, 4
2010-12-02, 0, 0, 2
2010-12-03, 0, 0, 1
2010-12-04, 0, 0, 7
2010-12-05, 0, 0, 2
2010-12-06, 0, 0, 1
2010-12-07, 0, 0, 4
2010-12-12, 0, 0, 1
2010-12-13, 0, 0, 1
2010-12-15, 0, 0, 1
2010-12-16, 0, 0, 10
2010-12-17, 0, 0, 3
2010-12-18, 0, 0, 2
2010-12-19, 0, 0, 6
2010-12-20, 0, 0, 1
2010-12-21, 0, 0, 1
2010-12-22, 0, 0, 9
2010-12-23, 0, 0, 5
2010-12-25, 0, 0, 2
2010-12-26, 0, 0, 4
2010-12-27, 0, 0, 3
2010-12-28, 0, 0, 3
2010-12-29, 0, 0, 4
2010-12-30, 0, 0, 1
2010-12-31, 0, 0, 4
2011-01-03, 0, 0, 1
2011-01-04, 0, 0, 3
2011-01-05, 0, 0, 2
