date, number_of_issues, number_of_pull_requests, number_of_commits
2015-11-07, 0, 0, 6
2015-11-08, 0, 0, 3
2015-11-09, 49, 2, 9
2015-11-10, 58, 6, 2
2015-11-11, 50, 4, 3
2015-11-12, 30, 1, 7
2015-11-13, 25, 0, 6
2015-11-14, 13, 0, 0
2015-11-15, 12, 0, 0
2015-11-16, 12, 2, 2
2015-11-17, 15, 0, 2
2015-11-18, 13, 0, 3
2015-11-19, 16, 2, 8
2015-11-20, 15, 0, 13
2015-11-21, 6, 1, 2
2015-11-22, 7, 0, 2
2015-11-23, 12, 1, 3
2015-11-24, 7, 1, 0
2015-11-25, 9, 0, 22
2015-11-26, 10, 0, 1
2015-11-27, 2, 0, 0
2015-11-28, 9, 0, 3
2015-11-29, 2, 0, 1
2015-11-30, 2, 0, 2
2015-12-01, 11, 0, 4
2015-12-02, 6, 0, 3
2015-12-03, 9, 0, 4
2015-12-04, 9, 1, 13
2015-12-05, 5, 0, 21
2015-12-06, 6, 1, 13
2015-12-07, 12, 2, 8
2015-12-08, 14, 0, 23
2015-12-09, 11, 1, 8
2015-12-10, 10, 0, 15
2015-12-11, 13, 1, 15
2015-12-12, 10, 0, 8
2015-12-13, 7, 0, 12
2015-12-14, 9, 0, 21
2015-12-15, 9, 2, 32
2015-12-16, 8, 0, 5
2015-12-17, 9, 0, 38
2015-12-18, 13, 4, 29
2015-12-19, 12, 2, 8
2015-12-20, 12, 7, 7
2015-12-21, 11, 3, 26
2015-12-22, 7, 2, 8
2015-12-23, 18, 6, 36
2015-12-24, 4, 3, 5
2015-12-25, 5, 1, 4
2015-12-26, 8, 2, 16
2015-12-27, 5, 2, 5
2015-12-28, 8, 2, 17
2015-12-29, 8, 2, 1
2015-12-30, 8, 1, 16
2015-12-31, 5, 2, 8
2016-01-01, 4, 2, 2
2016-01-02, 4, 1, 12
2016-01-03, 4, 3, 28
2016-01-04, 10, 2, 9
2016-01-05, 19, 7, 13
2016-01-06, 7, 3, 45
2016-01-07, 12, 3, 45
2016-01-08, 9, 4, 22
2016-01-09, 5, 2, 13
2016-01-10, 1, 0, 5
2016-01-11, 12, 7, 21
2016-01-12, 7, 2, 25
2016-01-13, 8, 2, 25
2016-01-14, 13, 6, 38
2016-01-15, 11, 5, 40
2016-01-16, 4, 3, 33
2016-01-17, 5, 1, 7
2016-01-18, 6, 1, 18
2016-01-19, 11, 5, 20
2016-01-20, 11, 4, 27
2016-01-21, 8, 3, 49
2016-01-22, 10, 4, 17
2016-01-23, 12, 8, 22
2016-01-24, 14, 5, 13
2016-01-25, 13, 6, 33
2016-01-26, 15, 9, 46
2016-01-27, 13, 7, 35
2016-01-28, 10, 3, 11
2016-01-29, 15, 6, 21
2016-01-30, 7, 3, 12
2016-01-31, 4, 1, 7
2016-02-01, 6, 3, 14
2016-02-02, 18, 5, 30
2016-02-03, 10, 7, 34
2016-02-04, 18, 12, 34
2016-02-05, 7, 5, 36
2016-02-06, 3, 3, 16
2016-02-07, 4, 2, 15
2016-02-08, 11, 7, 32
2016-02-09, 13, 5, 56
2016-02-10, 11, 4, 41
2016-02-11, 19, 8, 33
2016-02-12, 13, 7, 33
2016-02-13, 5, 4, 21
2016-02-14, 13, 8, 26
